ApplicationName,LoggerName,RequestedURL,Details
SAMWB,SAMWB,http://www.ABC.com/sams/app/styles/css/vendor-blessed2,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/app/styles/css/vendor-blessed2"",""transactionId"":""22281e07-00fa-4093-ba9c-e558ba8c183a"",""httpVerb"":""GET"",""message"":""Request Finished in 20 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/app/styles/css/vendor-blessed1,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/app/styles/css/vendor-blessed1"",""transactionId"":""4bed5809-59d6-46e7-9900-996d5fad018c"",""httpVerb"":""GET"",""message"":""Request Finished in 40 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/app/styles/css/main,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/app/styles/css/main"",""transactionId"":""8efaaf7d-4cc8-47ba-9bef-7fab91276fd3"",""httpVerb"":""GET"",""message"":""Request Finished in 18 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/SAMs/Login/LogonPage.aspx,"{""httpResponseStatusCode"":302,""requestedUrl"":""http://www.ABC.com/SAMs/Login/LogonPage.aspx"",""transactionId"":""8da9b8e3-d2f9-4f71-bc43-ba19ff3a2292"",""httpVerb"":""POST"",""message"":""Request Finished in 157 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/claims/?claimId=0118542143008&expand[0]=SpendingAccounts&expand[1]=payments&cacheBust=1474516820411,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/claims/?claimId=0118542143008&expand[0]=SpendingAccounts&expand[1]=payments&cacheBust=1474516820411"",""transactionId"":""29cb4a8c-e254-4031-a2a8-6b13bbda07cb"",""httpVerb"":""GET"",""message"":""Request Finished in 24 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/"",""transactionId"":""c26936ab-9c98-4768-9461-b3c9f08bdfe1"",""httpVerb"":""GET"",""message"":""Request Finished in 1 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/app/styles/css/brandable,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/app/styles/css/brandable"",""transactionId"":""c9b9dc8f-6fac-46f5-85cc-c91886fb9c3d"",""httpVerb"":""GET"",""message"":""Request Finished in 4 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/app/styles/css/vendor,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/app/styles/css/vendor"",""transactionId"":""fcce408d-27bf-433b-9de6-8b103e272764"",""httpVerb"":""GET"",""message"":""Request Finished in 13 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/app/styles/css/main,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/app/styles/css/main"",""transactionId"":""2cf381e2-34bd-4a41-8776-69d62d42a396"",""httpVerb"":""GET"",""message"":""Request Finished in 16 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/app/styles/css/vendor-blessed2,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/app/styles/css/vendor-blessed2"",""transactionId"":""7e1074e5-23cb-45a2-8b3b-1eec8458b6f6"",""httpVerb"":""GET"",""message"":""Request Finished in 34 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/app/styles/css/vendor-blessed1,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/app/styles/css/vendor-blessed1"",""transactionId"":""097656d6-5c76-4a8e-8d75-9e3a1644c6e1"",""httpVerb"":""GET"",""message"":""Request Finished in 45 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/documents/LzV2RTc5MW5rRUlvblFzaWViaGdtZz09,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/documents/LzV2RTc5MW5rRUlvblFzaWViaGdtZz09"",""transactionId"":""f39d02db-d0a0-4c95-9e66-d8161c8235d3"",""httpVerb"":""GET"",""message"":""Request Finished in 199 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/alerts/?alertKey=0000139814008,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/alerts/?alertKey=0000139814008"",""transactionId"":""2c234056-236e-4df6-bcde-43f400b9eb90"",""httpVerb"":""DELETE"",""message"":""Request Finished in 30 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/customizations/bg,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/customizations/bg"",""transactionId"":""285e6f44-a2a8-4321-a4c6-1e94895f8686"",""httpVerb"":""GET"",""message"":""Request Finished in 16 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/logout,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/logout"",""transactionId"":""4c62fd61-c23d-465d-8536-b141c3e3589b"",""httpVerb"":""GET"",""message"":""Request Finished in 8 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/customizations/logo,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/customizations/logo"",""transactionId"":""703c5b15-d8ef-4fba-b28c-0b393d26157b"",""httpVerb"":""GET"",""message"":""Request Finished in 5 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/customizations/bg,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/customizations/bg"",""transactionId"":""3502d117-d8e3-4147-b879-7fd85d93a65d"",""httpVerb"":""GET"",""message"":""Request Finished in 16 milliseconds""}"
